Page ID,Ad ID,CTR (%),Revenue per click ($),User Interest Match (Yes/No),Cost per ad ($)
1,1,2.5,0.50,Yes,20
1,2,3.3,0.55,No,15
1,3,1.7,0.60,Yes,25
1,4,2.0,0.48,No,18
1,5,3.4,0.62,Yes,26
1,6,2.3,0.42,Yes,12
1,7,2.1,0.54,No,20
1,8,2.7,0.65,Yes,28
1,9,3.1,0.53,No,24
1,10,1.8,0.57,Yes,22
2,1,2.2,0.45,Yes,30
2,2,2.9,0.50,No,10
2,3,3.2,0.55,Yes,22
2,4,2.6,0.65,Yes,28
2,5,3.0,0.53,No,24
2,6,1.6,0.50,Yes,16
2,7,3.5,0.60,Yes,30
2,8,2.4,0.47,No,18
2,9,2.8,0.68,Yes,32
2,10,1.9,0.40,No,14
3,1,3.3,0.52,No,20
3,2,1.9,0.57,Yes,15
3,3,3.1,0.50,Yes,16
3,4,2.8,0.68,No,30
3,5,2.9,0.38,Yes,10
3,6,3.0,0.51,No,12
3,7,1.8,0.62,Yes,25
3,8,2.0,0.55,No,18
3,9,2.7,0.63,Yes,27
3,10,2.3,0.63,No,27
4,1,3.2,0.40,Yes,12
4,2,2.4,0.55,No,28
4,3,2.6,0.60,Yes,30
4,4,3.4,0.51,Yes,14
4,5,1.6,0.70,No,32
4,6,2.5,0.45,Yes,20
4,7,3.0,0.52,No,16
4,8,1.9,0.61,Yes,24
4,9,2.8,0.50,No,22
4,10,2.3,0.56,Yes,26
