Page ID,Ad ID,CTR (%),Revenue per click ($),User Interest Match (Yes/No),Cost per ad ($)
1,101,2.5,0.50,Yes,20
1,102,3.3,0.55,No,15
1,103,1.7,0.60,Yes,25
1,113,2.0,0.48,No,18
1,114,3.4,0.62,Yes,26
1,121,2.3,0.42,Yes,12
1,122,2.1,0.54,No,20
1,123,2.7,0.65,Yes,28
1,124,3.1,0.53,No,24
1,125,1.8,0.57,Yes,22
2,104,2.2,0.45,Yes,30
2,105,2.9,0.50,No,10
2,106,3.2,0.55,Yes,22
2,115,2.6,0.65,Yes,28
2,116,3.0,0.53,No,24
2,126,1.6,0.50,Yes,16
2,127,3.5,0.60,Yes,30
2,128,2.4,0.47,No,18
2,129,2.8,0.68,Yes,32
2,130,1.9,0.40,No,14
3,107,2.1,0.60,Yes,18
3,108,3.3,0.52,No,20
3,109,1.9,0.57,Yes,15
3,117,3.1,0.50,Yes,16
3,118,2.8,0.68,No,30
3,131,2.9,0.38,Yes,10
3,132,3.0,0.51,No,12
3,133,1.8,0.62,Yes,25
3,134,2.0,0.55,No,18
3,135,2.7,0.63,Yes,27
4,110,3.2,0.40,Yes,12
4,111,2.4,0.55,No,28
4,112,2.6,0.60,Yes,30
4,119,3.4,0.51,Yes,14
4,120,1.6,0.70,No,32
4,136,2.5,0.45,Yes,20
4,137,3.0,0.52,No,16
4,138,1.9,0.61,Yes,24
4,139,2.8,0.50,No,22
4,140,2.3,0.56,Yes,26
